"unique_id","cl_conc","v_in","v_f"
"50_600_001_2",50,0.40054715,0.45769459
"50_600_002_2",50,0.39893591,0.479619
"50_600_003_2",50,0.39191228,0.46739036
"50_600_004_2",50,0.39618111,0.47423449
"50_600_005_2",50,0.39298642,0.4723714
"50_600_006_2",50,0.3940486,0.46846408
"50_600_007_2",50,0.40022409,0.47264746
"50_600_008_2",50,0.39464998,0.46665502
"50_600_009_2",50,0.39791352,0.47319281
"50_600_010_2",50,0.40711907,0.48318422
"50_600_011_2",50,0.40418896,0.47346228
"50_600_012_2",50,0.39169371,0.47406781
"50_600_013_2",50,0.39681244,0.47883523
"50_600_014_2",50,0.39159405,0.47198427
"50_600_015_2",50,0.40269071,0.48943517
"50_600_016_2",50,0.40308902,0.49553928
"50_600_017_2",50,0.40914437,0.50301719
"50_600_018_2",50,0.42247105,0.52234697
"50_600_019_2",50,0.42743641,0.54684335
"50_600_020_2",50,0.42700371,0.55502212
"25_600_001_3",25,0.54490572,0.80938703
"25_600_002_3",25,0.5531671,0.83277547
"25_600_003_3",25,0.5528487,0.82894754
"25_600_004_3",25,0.56160259,0.83303237
"25_600_005_3",25,0.55136108,0.82400429
"25_600_006_3",25,0.55890107,0.82852858
"25_600_007_3",25,0.544756,0.81765479
"25_600_008_3",25,0.55889142,0.8268801
"25_600_009_3",25,0.55480665,0.82973146
"25_600_010_3",25,0.566172,0.82714444
"25_600_011_3",25,0.56802636,0.83124709
"25_600_012_3",25,0.56508774,0.82964522
"25_600_013_3",25,0.55684483,0.82652479
"25_600_014_3",25,0.56392568,0.82773894
"25_600_015_3",25,0.55569154,0.82627457
"25_600_016_3",25,0.56657374,0.83067495
"25_600_017_3",25,0.56710637,0.83088619
"25_600_018_3",25,0.56787515,0.83140767
"25_600_019_3",25,0.57889879,0.83651245
"25_600_020_3",25,0.52824754,0.83360404
"100_600_001_3",100,0.2768977,0.28251246
"100_600_002_3",100,0.27073714,0.29445985
"100_600_003_3",100,0.26912174,0.30535495
"100_600_004_3",100,0.27335471,0.31411609
"100_600_005_3",100,0.275327191,0.320636221
"100_600_006_3",100,0.277727545,0.328527865
"100_600_007_3",100,0.281248082,0.336904032
"100_600_008_3",100,0.286377734,0.348047314
"100_600_009_3",100,0.29550023,0.36301343
"100_600_010_3",100,0.2964138,0.37197905
"100_600_011_3",100,0.310629918,0.396368808
"100_600_012_3",100,0.322601417,0.434226157
"100_600_013_3",100,0.330922504,0.457291384
"100_600_014_3",100,0.339960026,0.496009746
"100_600_015_3",100,0.356487943,0.528117133
"100_600_016_3",100,0.365865566,0.563828056
"100_600_017_3",100,0.373073882,0.591677552
"100_600_018_3",100,0.395174947,0.638662457
"100_600_019_3",100,0.404530594,0.648156384
"100_600_020_3",100,0.405030006,0.667347036
"100_600_001_2",100,0.29037958,0.29640195
"100_600_002_2",100,0.27546039,0.29681677
"100_600_003_2",100,0.26831469,0.29646072
"100_600_004_2",100,0.28123274,0.30272314
"100_600_005_2",100,0.28554022,0.30995122
"100_600_006_2",100,0.28188345,0.30622053
"100_600_007_2",100,0.28481781,0.30947399
"100_600_008_2",100,0.29117596,0.31524041
"100_600_009_2",100,0.29608229,0.31494465
"100_600_010_2",100,0.31127602,0.32702529
"100_600_011_2",100,0.30468544,0.32421613
"100_600_012_2",100,0.30678332,0.32322285
"100_600_013_2",100,0.30864531,0.32896683
"100_600_014_2",100,0.30929905,0.3346242
"100_600_015_2",100,0.31563243,0.34006512
"100_600_016_2",100,0.31256399,0.34306583
"100_600_017_2",100,0.31596228,0.35154948
"100_600_018_2",100,0.32141542,0.3638024
"100_600_019_2",100,0.32991925,0.37417847
"100_600_020_2",100,0.3277595,0.38528603
"50_600_001_3",50,0.39026532,0.45370474
"50_600_002_3",50,0.37259957,0.46552619
"50_600_003_3",50,0.3667002,0.45573094
"50_600_004_3",50,0.37075391,0.45931301
"50_600_005_3",50,0.36480913,0.46206766
"50_600_006_3",50,0.37395257,0.46672884
"50_600_007_3",50,0.3679814,0.4496083
"50_600_008_3",50,0.37052801,0.45046303
"50_600_009_3",50,0.37956181,0.45657003
"50_600_010_3",50,0.37138098,0.44411689
"50_600_011_3",50,0.38014352,0.45340583
"50_600_012_3",50,0.37883589,0.45077711
"50_600_013_3",50,0.3815138,0.46650085
