"unique_id","Rep_No","Experiment_No","cl_conc","v_in","v_f","Electrode_No"
"50_600_001_1","R1",1,50,0.40428996,0.46885896,1
"25_600_002_1","R2",1,25,0.59388924,0.85544252,1
"100_600_003_1","R3",1,100,0.27261502,0.30448079,1
"25_600_004_1","R4",1,25,0.62238276,0.87192529,1
"50_600_005_1","R5",1,50,0.3879281,0.46954331,1
"100_600_006_1","R6",1,100,0.28113037,0.30827755,1
"50_600_007_1","R7",1,50,0.39238217,0.47316167,1
"25_600_008_1","R8",1,25,0.61414856,0.85466427,1
"100_600_009_1","R9",1,100,0.28119528,0.30612063,1
"50_600_010_1","R10",1,50,0.38879448,0.46380496,1
"25_600_011_1","R11",1,25,0.61548948,0.85399038,1
"100_600_012_1","R12",1,100,0.29426867,0.31428823,1
"50_600_013_1","R13",1,50,0.39593905,0.47634566,1
"25_600_014_1","R14",1,25,0.58088899,0.88252443,1
"100_600_015_1","R15",1,100,0.30580276,0.33104247,1
"50_600_016_1","R16",1,50,0.41196653,0.50168788,1
"25_600_017_1","R17",1,25,0.61588693,0.89891493,1
"100_600_018_1","R18",1,100,0.31045407,0.35050479,1
"50_600_019_1","R19",1,50,0.42209414,0.52794296,1
"25_600_001_2","R1",2,25,0.56810099,0.822914,2
"25_600_002_2","R2",2,25,0.56648833,0.84535456,2
"50_600_003_2","R3",2,50,0.37737253,0.45924145,2
"50_600_004_2","R4",2,50,0.37131441,0.45739102,2
"100_600_005_2","R5",2,100,0.26640221,0.29860011,2
"100_600_006_2","R6",2,100,0.26402259,0.29328713,2
"25_600_007_2","R7",2,25,0.55822563,0.81507909,2
"50_600_008_2","R8",2,50,0.39212593,0.48526061,2
"100_600_009_2","R9",2,100,0.27452883,0.30332398,2
"100_600_010_2","R10",2,100,0.28564373,0.31023327,2
"50_600_011_2","R11",2,50,0.39895955,0.47657937,2
"50_600_012_2","R12",2,50,0.40216032,0.48128298,2
"25_600_013_2","R13",2,25,0.53415,0.83798409,2
"25_600_014_2","R14",2,25,0.5424884,0.85060674,2
"100_600_015_2","R15",2,100,0.29200259,0.3084352,2
"25_600_016_2","R16",2,25,0.54847699,0.85867018,2
"50_600_017_2","R17",2,50,0.41102186,0.48616591,2
"100_600_018_2","R18",2,100,0.30675054,0.32786703,2
"25_600_019_2","R19",2,25,0.52266049,0.82871711,2
"100_600_020_2","R20",2,100,0.29320729,0.31882742,2
"25_600_001_3","R1",3,25,0.56834137,0.82419217,3
"50_600_002_3","R2",3,50,0.38799086,0.47173482,3
"100_600_003_3","R3",3,100,0.25793952,0.29155824,3
"25_600_004_3","R4",3,25,0.5708949,0.82417309,3
"25_600_005_3","R5",3,25,0.55668533,0.82593369,3
"50_600_006_3","R6",3,50,0.38447022,0.47041532,3
"50_600_007_3","R7",3,50,0.38560486,0.4755882,3
"50_600_008_3","R8",3,50,0.39120302,0.48533031,3
"100_600_009_3","R9",3,100,0.28842074,0.31429228,3
"100_600_010_3","R10",3,100,0.28242201,0.30618367,3
"25_600_011_3","R11",3,25,0.54268765,0.83622909,3
"100_600_012_3","R12",3,100,0.29696509,0.32371199,3
"50_600_013_3","R13",3,50,0.42442477,0.51495069,3
"25_600_014_3","R14",3,25,0.55032921,0.84603322,3
"100_600_015_3","R15",3,100,0.2911326,0.31589517,3
"100_600_016_3","R16",3,100,0.29858482,0.32364824,3
"25_600_017_3","R17",3,25,0.56129467,0.86659199,3
"50_600_018_3","R18",3,50,0.41982171,0.50578237,3
"50_600_019_3","R19",3,50,0.41212815,0.49933413,3
"100_600_020_3","R20",3,100,0.29949465,0.32709333,3
