"unique_id","cl_conc","v_in","v_f"
"100_600_036",100,0.29314262,0.29447824
"100_600_042",100,0.29222247,0.29449949
"100_600_044",100,0.29675823,0.29596952
"100_600_083",100,0.29479447,0.30593917
"100_600_093",100,0.3026911,0.30435038
"100_600_134",100,0.278006345033646,0.283192098140717
"100_600_137",100,0.29463753,0.29722059
"150_600_028",150,0.23400578,0.23093484
"150_600_033",150,0.23101264,0.23240167
"150_600_057",150,0.23476604,0.2317564
"150_600_072",150,0.23622754,0.23824942
"150_600_120",150,0.23863082,0.23335312
"150_600_96",150,0.243379175662994,0.236141338944435
"15_600_023",15,0.67977548,0.89313531
"200_600_019",200,0.21027005,0.20348766
"200_600_066",200,0.20020494,0.2037183
"200_600_136",200,0.205506905913353,0.200541138648987
"200_600_95",200,0.219474419951439,0.215418383479118
"20_600_024",20,0.59373838,0.86045045
"20_600_038",20,0.59515303,0.87975961
"20_600_073",20,0.58909386,0.86972439
"20_600_105",20,0.621491134166718,0.849294066429138
"20_600_119",20,0.61928153,0.88164973
"20_600_121",20,0.58514315,0.8625375
"250_600_010",250,0.18278287,0.17870145
"250_600_029",250,0.18055749,0.17508224
"250_600_041",250,0.18609023,0.18060955
"250_600_058",250,0.20033856,0.20267646
"250_600_079",250,0.19026458,0.18581775
"250_600_088",250,0.20122449,0.19405231
"250_600_106",250,0.18577662,0.18295108
"250_600_124",250,0.18911953,0.18492261
"250_600_127",250,0.19522071,0.18779303
"25_600_030",25,0.52646565,0.81678218
"25_600_040",25,0.55328542,0.85427117
"25_600_087",25,0.54857343,0.84627485
"25_600_125",25,0.53376132,0.82799292
"30_600_006",30,0.47851321,0.78470951
"30_600_022",30,0.50074255,0.7960698
"30_600_047",30,0.51615983,0.80611771
"30_600_132",30,0.53810692,0.83423513
"40_600_007",40,0.43781206,0.61581904
"40_600_027",40,0.45120952,0.64559227
"40_600_092",40,0.47188249,0.69336063
"40_600_107",40,0.445953816175461,0.58118653
"50_600_015",50,0.41744217,0.50681412
"50_600_056",50,0.39673409,0.44553602
"50_600_062",50,0.40621588,0.48195505
"50_600_063",50,0.40646547,0.47264177
"50_600_104",50,0.40182936,0.45818189
"50_600_138",50,0.413695871829987,0.461864054203033
"75_600_002",75,0.32664961,0.34186974
"75_600_039",75,0.33762097,0.35742417
"75_600_086",75,0.34136313,0.3580929
"75_600_101",75,0.33921701,0.35216695
"75_600_108",75,0.35214451,0.36895296
