"unique_id","cl_conc","v_in","v_f"
"100_600_046",100,0.29426485,0.29511067
"100_600_089",100,0.31030163,0.31289306
"100_600_091",100,0.30123082,0.30404022
"100_600_131",100,0.28845307,0.28925207
"100_600_139",100,0.29877692,0.30126673
"100_600_141",100,0.29166457,0.29536852
"100_600_97",100,0.294945031404495,0.299845993518829
"150_600_009",150,0.23750165,0.23576209
"150_600_025",150,0.23350196,0.22988665
"150_600_075",150,0.24043618,0.24016349
"150_600_080",150,0.23145065,0.23237844
"150_600_105",150,0.23874,0.23688459
"150_600_123",150,0.24063359,0.23483905
"150_600_128",150,0.24518371,0.23970151
"150_600_135",150,0.236085370182991,0.227024137973785
"15_600_070",15,0.67894047,0.89996785
"15_600_098",15,0.67417973,0.8900736
"15_600_104",15,0.762388110160828,0.89182186126709
"200_600_021",200,0.20582232,0.20072886
"200_600_035",200,0.21179743,0.20928645
"200_600_049",200,0.20708817,0.20016925
"200_600_068",200,0.2070477,0.20357409
"200_600_082",200,0.21204078,0.20946975
"200_600_096",200,0.21687806,0.23125015
"200_600_114",200,0.20595242,0.20270684
"200_600_116",200,0.20437938,0.20143546
"200_600_130",200,0.20308997,0.20056903
"20_600_026",20,0.57883549,0.85153294
"20_600_031",20,0.59626621,0.86381823
"20_600_071",20,0.6261425,0.88428575
"20_600_078",20,0.61067265,0.88749224
"20_600_085",20,0.59919518,0.88376164
"20_600_133",20,0.59019178,0.86477762
"250_600_032",250,0.18630897,0.18000712
"250_600_076",250,0.1853376,0.18039383
"250_600_136",250,0.18170983,0.17794363
"25_600_020",25,0.54657221,0.84231311
"25_600_034",25,0.51974553,0.81604463
"25_600_067",25,0.5310722,0.8282814
"25_600_077",25,0.52677977,0.81779414
"25_600_081",25,0.52370292,0.8130762
"25_600_100",25,0.563161313533783,0.846233308315277
"25_600_115",25,0.52071184,0.81699169
"25_600_129",25,0.5273993,0.82356638
"25_600_135",25,0.56583166,0.8588962
"25_600_141",25,0.53813511133194,0.81589549779892
"30_600_037",30,0.50199372,0.79703134
"30_600_054",30,0.48397988,0.77782965
"30_600_069",30,0.49146566,0.79399514
"30_600_084",30,0.5155468,0.80910408
"30_600_094",30,0.53073907,0.82732797
"30_600_102",30,0.51969457,0.80435795
"30_600_106",30,0.50656521320343,0.794241309165955
"30_600_117",30,0.49703717,0.79322171
"30_600_140",30,0.474246293306351,0.747148036956787
"30_600_142",30,0.51312292,0.8124184
"40_600_011",40,0.44608012,0.67556363
"40_600_045",40,0.44023126,0.62646294
"40_600_055",40,0.4451631,0.62094241
"40_600_059",40,0.43530911,0.605959
"40_600_074",40,0.45534679,0.64330858
"40_600_103",40,0.45140031,0.62490743
"40_600_122",40,0.45313436,0.65500623
"40_600_139",40,0.439717471599579,0.624600231647491
"40_600_140",40,0.44465247,0.64936143
"50_600_008",50,0.38562611,0.43484068
"50_600_016",50,0.40764117,0.49340242
"50_600_018",50,0.40656614,0.46713537
"50_600_065",50,0.40206343,0.48287836
"50_600_110",50,0.41486725,0.50985223
"50_600_111",50,0.39777923,0.47563136
"50_600_113",50,0.39838368,0.48024705
"50_600_99",50,0.402723759412766,0.467799842357635
"75_600_013",75,0.33061674,0.35246417
"75_600_017",75,0.33284029,0.34829077
"75_600_053",75,0.3336046,0.34355503
"75_600_060",75,0.33244321,0.34471419
"75_600_064",75,0.33785716,0.36124891
"75_600_112",75,0.33029306,0.37064189
"75_600_134",75,0.33815974,0.35093775
"75_600_137",75,0.320579558610916,0.330726712942123
"75_600_98",75,0.332256853580475,0.345716059207916
