"unique_id","Rep_No","cl_conc","v_in","v_f","Electrode_No"
"100_600_001_3","R1",100,0.2768977,0.28251246,3
"100_600_002_3","R2",100,0.27073714,0.29445985,3
"100_600_003_3","R3",100,0.26912174,0.30535495,3
"100_600_004_3","R4",100,0.27335471,0.31411609,3
"100_600_005_3","R5",100,0.275327191,0.320636221,3
"100_600_006_3","R6",100,0.277727545,0.328527865,3
"100_600_007_3","R7",100,0.281248082,0.336904032,3
"100_600_008_3","R8",100,0.286377734,0.348047314,3
"100_600_009_3","R9",100,0.29550023,0.36301343,3
"100_600_010_3","R10",100,0.2964138,0.37197905,3
"100_600_011_3","R11",100,0.310629918,0.396368808,3
"100_600_012_3","R12",100,0.322601417,0.434226157,3
"100_600_013_3","R13",100,0.330922504,0.457291384,3
"100_600_014_3","R14",100,0.339960026,0.496009746,3
"100_600_015_3","R15",100,0.356487943,0.528117133,3
"100_600_016_3","R16",100,0.365865566,0.563828056,3
"100_600_017_3","R17",100,0.373073882,0.591677552,3
"100_600_018_3","R18",100,0.395174947,0.638662457,3
"100_600_019_3","R19",100,0.404530594,0.648156384,3
"100_600_020_3","R20",100,0.405030006,0.667347036,3
"50_600_001_3","R1",50,0.39026532,0.45370474,6
"50_600_002_3","R2",50,0.37259957,0.46552619,6
"50_600_003_3","R3",50,0.3667002,0.45573094,6
"50_600_004_3","R4",50,0.37075391,0.45931301,6
"50_600_005_3","R5",50,0.36480913,0.46206766,6
"50_600_006_3","R6",50,0.37395257,0.46672884,6
"50_600_007_3","R7",50,0.3679814,0.4496083,6
"50_600_008_3","R8",50,0.37052801,0.45046303,6
"50_600_009_3","R9",50,0.37956181,0.45657003,6
"50_600_010_3","R10",50,0.37138098,0.44411689,6
"50_600_011_3","R11",50,0.38014352,0.45340583,6
"50_600_012_3","R12",50,0.37883589,0.45077711,6
"50_600_013_3","R13",50,0.3815138,0.46650085,6
"50_600_014_3","R14",50,0.38314676,0.46620941,6
"50_600_015_3","R15",50,0.38151971,0.46452901,6
"50_600_016_3","R16",50,0.39988279,0.48965815,6
"50_600_017_3","R17",50,0.39871961,0.49981099,6
"50_600_018_3","R18",50,0.41190699,0.52956682,6
"50_600_019_3","R19",50,0.4261899,0.57613856,6
"50_600_020_3","R20",50,0.43826407,0.60853612,6
"25_600_001_3","R1",25,0.54490572,0.80938703,9
"25_600_002_3","R2",25,0.5531671,0.83277547,9
"25_600_003_3","R3",25,0.5528487,0.82894754,9
"25_600_004_3","R4",25,0.56160259,0.83303237,9
"25_600_005_3","R5",25,0.55136108,0.82400429,9
"25_600_006_3","R6",25,0.55890107,0.82852858,9
"25_600_007_3","R7",25,0.544756,0.81765479,9
"25_600_008_3","R8",25,0.55889142,0.8268801,9
"25_600_009_3","R9",25,0.55480665,0.82973146,9
"25_600_010_3","R10",25,0.566172,0.82714444,9
"25_600_011_3","R11",25,0.56802636,0.83124709,9
"25_600_012_3","R12",25,0.56508774,0.82964522,9
"25_600_013_3","R13",25,0.55684483,0.82652479,9
"25_600_014_3","R14",25,0.56392568,0.82773894,9
"25_600_015_3","R15",25,0.55569154,0.82627457,9
"25_600_016_3","R16",25,0.56657374,0.83067495,9
"25_600_017_3","R17",25,0.56710637,0.83088619,9
"25_600_018_3","R18",25,0.56787515,0.83140767,9
"25_600_019_3","R19",25,0.57889879,0.83651245,9
"25_600_020_3","R20",25,0.52824754,0.83360404,9
"100_600_001_2","R1",100,0.29037958,0.29640195,2
"100_600_002_2","R2",100,0.27546039,0.29681677,2
"100_600_003_2","R3",100,0.26831469,0.29646072,2
"100_600_004_2","R4",100,0.28123274,0.30272314,2
"100_600_005_2","R5",100,0.28554022,0.30995122,2
"100_600_006_2","R6",100,0.28188345,0.30622053,2
"100_600_007_2","R7",100,0.28481781,0.30947399,2
"100_600_008_2","R8",100,0.29117596,0.31524041,2
"100_600_009_2","R9",100,0.29608229,0.31494465,2
"100_600_010_2","R10",100,0.31127602,0.32702529,2
"100_600_011_2","R11",100,0.30468544,0.32421613,2
"100_600_012_2","R12",100,0.30678332,0.32322285,2
"100_600_013_2","R13",100,0.30864531,0.32896683,2
"100_600_014_2","R14",100,0.30929905,0.3346242,2
"100_600_015_2","R15",100,0.31563243,0.34006512,2
"100_600_016_2","R16",100,0.31256399,0.34306583,2
"100_600_017_2","R17",100,0.31596228,0.35154948,2
"100_600_018_2","R18",100,0.32141542,0.3638024,2
"100_600_019_2","R19",100,0.32991925,0.37417847,2
"100_600_020_2","R20",100,0.3277595,0.38528603,2
"25_600_001_2","R1",25,0.53728354,0.8222726,8
"25_600_002_2","R2",25,0.54633367,0.82932603,8
"25_600_003_2","R3",25,0.60151607,0.85876936,8
"25_600_004_2","R4",25,0.57348049,0.84853476,8
"25_600_005_2","R5",25,0.55772966,0.84191114,8
"25_600_006_2","R6",25,0.57029271,0.84883595,8
"25_600_007_2","R7",25,0.55444521,0.83979005,8
"25_600_008_2","R8",25,0.55879283,0.83783275,8
"25_600_009_2","R9",25,0.56342995,0.83971691,8
"25_600_010_2","R10",25,0.56473124,0.84092277,8
"25_600_011_2","R11",25,0.56901354,0.84214157,8
"25_600_012_2","R12",25,0.57372004,0.84084642,8
"25_600_013_2","R13",25,0.5787192,0.84491736,8
"25_600_014_2","R14",25,0.57896596,0.84376842,8
"25_600_015_2","R15",25,0.5760588,0.84388953,8
"25_600_016_2","R16",25,0.52705061,0.84542531,8
"25_600_017_2","R17",25,0.53058004,0.84894276,8
"25_600_018_2","R18",25,0.52700281,0.84805304,8
"25_600_019_2","R19",25,0.51887554,0.83956575,8
"25_600_020_2","R20",25,0.53954566,0.84969217,8
"50_600_001_2","R1",50,0.40054715,0.45769459,5
"50_600_002_2","R2",50,0.39893591,0.479619,5
"50_600_003_2","R3",50,0.39191228,0.46739036,5
"50_600_004_2","R4",50,0.39618111,0.47423449,5
"50_600_005_2","R5",50,0.39298642,0.4723714,5
"50_600_006_2","R6",50,0.3940486,0.46846408,5
"50_600_007_2","R7",50,0.40022409,0.47264746,5
"50_600_008_2","R8",50,0.39464998,0.46665502,5
"50_600_009_2","R9",50,0.39791352,0.47319281,5
"50_600_010_2","R10",50,0.40711907,0.48318422,5
"50_600_011_2","R11",50,0.40418896,0.47346228,5
"50_600_012_2","R12",50,0.39169371,0.47406781,5
"50_600_013_2","R13",50,0.39681244,0.47883523,5
"50_600_014_2","R14",50,0.39159405,0.47198427,5
"50_600_015_2","R15",50,0.40269071,0.48943517,5
"50_600_016_2","R16",50,0.40308902,0.49553928,5
"50_600_017_2","R17",50,0.40914437,0.50301719,5
"50_600_018_2","R18",50,0.42247105,0.52234697,5
"50_600_019_2","R19",50,0.42743641,0.54684335,5
"50_600_020_2","R20",50,0.42700371,0.55502212,5
